Noise,Beta1,Window1,T1,Beta2,Window2,T2,PSNR
30,0.34,7,0.63,0.44,7,0.8,51.8566465895
30,0.34,7,0.63,0.44,7,0.8,60.1923766204
30,0.34,7,0.63,0.64,7,0.6,62.6471056051
30,0.34,7,0.63,0.64,7,0.6,56.591750742
30,0.34,7,0.63,0.64,7,0.6,51.4760831675
30,0.34,7,0.63,0.64,7,0.6,50.3477348945
30,0.34,7,0.63,0.64,7,0.6,51.382745779
30,0.34,7,0.63,0.64,7,0.8,52.7056128936
30,0.34,7,0.63,0.64,7,0.8,50.7895234069
30,0.34,7,0.63,0.64,7,0.8,60.8161594313
30,0.34,7,0.63,0.64,7,0.8,50.1977938665
30,0.34,7,0.63,0.64,7,0.8,50.9113284636
30,0.34,7,0.83,0.44,7,0.6,51.3210530437
30,0.34,7,0.83,0.44,7,0.6,53.6527512307
30,0.34,7,0.83,0.44,7,0.6,54.9464494599
30,0.34,7,0.83,0.44,7,0.6,53.9339564644
30,0.34,7,0.83,0.44,7,0.6,53.3271690019
30,0.34,7,0.83,0.44,7,0.8,59.8660687359
30,0.34,7,0.83,0.44,7,0.8,51.1092730042
30,0.34,7,0.83,0.44,7,0.8,54.7357628822
30,0.34,7,0.83,0.44,7,0.8,57.1320108591
30,0.34,7,0.83,0.44,7,0.8,57.6175651365
30,0.34,7,0.83,0.64,7,0.6,60.8612272295
30,0.34,7,0.83,0.64,7,0.6,53.3471943834
30,0.34,7,0.83,0.64,7,0.6,49.5985316772
30,0.34,7,0.83,0.64,7,0.6,65.0510620653
30,0.34,7,0.83,0.64,7,0.6,49.4701709027
30,0.34,7,0.83,0.64,7,0.8,51.6468515496
30,0.34,7,0.83,0.64,7,0.8,54.4667459467
30,0.34,7,0.83,0.64,7,0.8,55.2035906096
30,0.34,7,0.83,0.64,7,0.8,56.2012145342
30,0.34,7,0.83,0.64,7,0.8,55.5607235846
30,0.54,7,0.63,0.44,7,0.6,52.8129838497
30,0.54,7,0.63,0.44,7,0.6,53.7291710779
30,0.54,7,0.63,0.44,7,0.6,48.4236408833
30,0.54,7,0.63,0.44,7,0.6,52.0380177866
30,0.54,7,0.63,0.44,7,0.6,54.6107231249
30,0.54,7,0.63,0.44,7,0.8,51.9024602211
30,0.54,7,0.63,0.44,7,0.8,53.5548357332
30,0.54,7,0.63,0.44,7,0.8,47.5838476256
30,0.54,7,0.63,0.44,7,0.8,53.5099672054
30,0.54,7,0.63,0.44,7,0.8,47.1523828252
30,0.54,7,0.63,0.64,7,0.6,53.4318700471
30,0.54,7,0.63,0.64,7,0.6,56.3830029169
30,0.54,7,0.63,0.64,7,0.6,51.0285904559
30,0.54,7,0.63,0.64,7,0.6,47.1000154069
30,0.54,7,0.63,0.64,7,0.6,49.458433861
30,0.54,7,0.63,0.64,7,0.8,50.3888525064
30,0.54,7,0.63,0.64,7,0.8,56.8900359268
30,0.54,7,0.63,0.64,7,0.8,49.7194158226
30,0.54,7,0.63,0.64,7,0.8,52.8847886608
30,0.54,7,0.63,0.64,7,0.8,50.1317805683
30,0.54,7,0.83,0.44,7,0.6,53.7233583993
30,0.54,7,0.83,0.44,7,0.6,48.5040162596
30,0.54,7,0.83,0.44,7,0.6,49.9195604923
30,0.54,7,0.83,0.44,7,0.6,51.8971949442
30,0.54,7,0.83,0.44,7,0.6,53.4192790689
30,0.54,7,0.83,0.44,7,0.8,55.3575176059
30,0.54,7,0.83,0.44,7,0.8,49.633508167
30,0.54,7,0.83,0.44,7,0.8,54.4453852157
30,0.54,7,0.83,0.44,7,0.8,49.5532155812
30,0.54,7,0.83,0.44,7,0.8,52.1220056686
30,0.54,7,0.83,0.64,7,0.6,48.320351968
30,0.54,7,0.83,0.64,7,0.6,53.736348266
30,0.54,7,0.83,0.64,7,0.6,54.888160796
30,0.54,7,0.83,0.64,7,0.6,54.6616458922
30,0.54,7,0.83,0.64,7,0.6,50.5286337677
30,0.54,7,0.83,0.64,7,0.8,51.9033515635
30,0.54,7,0.83,0.64,7,0.8,52.5887002275
30,0.54,7,0.83,0.64,7,0.8,49.52695256
30,0.54,7,0.83,0.64,7,0.8,50.8022698679
30,0.54,7,0.83,0.64,7,0.8,49.6310697952
1,0.3333,7,0.3333,0.3333,7,0.3333,102.463634869
1,0.3333,7,0.3333,0.3333,7,0.3333,104.181561597
1,0.3333,7,0.3333,0.3333,7,0.3333,100.207584132
1,0.3333,7,0.3333,0.3333,7,0.3333,101.173091415
1,0.3333,7,0.3333,0.3333,7,0.3333,104.192721669
1,0.3333,7,0.3333,0.3333,7,0.6666,101.603929019
1,0.3333,7,0.3333,0.3333,7,0.6666,102.301377529
1,0.3333,7,0.3333,0.3333,7,0.6666,102.748207362
1,0.3333,7,0.3333,0.3333,7,0.6666,103.210422614
1,0.3333,7,0.3333,0.3333,7,0.6666,104.465522581
1,0.3333,7,0.3333,0.6666,7,0.3333,98.3955492946
1,0.3333,7,0.3333,0.6666,7,0.3333,102.18102106
1,0.3333,7,0.3333,0.6666,7,0.3333,98.5082545484
1,0.3333,7,0.3333,0.6666,7,0.3333,97.774150211
1,0.3333,7,0.3333,0.6666,7,0.3333,99.0517598038
1,0.3333,7,0.3333,0.6666,7,0.6666,100.596700222
1,0.3333,7,0.3333,0.6666,7,0.6666,99.1841883784
1,0.3333,7,0.3333,0.6666,7,0.6666,99.9463157972
1,0.3333,7,0.3333,0.6666,7,0.6666,99.6282526459
1,0.3333,7,0.3333,0.6666,7,0.6666,99.7672595065
1,0.3333,7,0.6666,0.3333,7,0.3333,103.168076543
1,0.3333,7,0.6666,0.3333,7,0.3333,101.051247549
1,0.3333,7,0.6666,0.3333,7,0.3333,102.626529124
1,0.3333,7,0.6666,0.3333,7,0.3333,102.335390554
1,0.3333,7,0.6666,0.3333,7,0.3333,101.312841467
1,0.3333,7,0.6666,0.3333,7,0.6666,100.386952015
1,0.3333,7,0.6666,0.3333,7,0.6666,99.8210071364
1,0.3333,7,0.6666,0.3333,7,0.6666,102.211177688
1,0.3333,7,0.6666,0.3333,7,0.6666,103.21334219
1,0.3333,7,0.6666,0.3333,7,0.6666,100.207738338
1,0.3333,7,0.6666,0.6666,7,0.3333,99.7816302334
1,0.3333,7,0.6666,0.6666,7,0.3333,99.8865321335
1,0.3333,7,0.6666,0.6666,7,0.3333,100.463654763
1,0.3333,7,0.6666,0.6666,7,0.3333,100.365240694
1,0.3333,7,0.6666,0.6666,7,0.3333,100.278444956
1,0.3333,7,0.6666,0.6666,7,0.6666,99.3223707582
1,0.3333,7,0.6666,0.6666,7,0.6666,98.6307702916
1,0.3333,7,0.6666,0.6666,7,0.6666,100.783663389
1,0.3333,7,0.6666,0.6666,7,0.6666,99.9280687846
1,0.3333,7,0.6666,0.6666,7,0.6666,99.9484362861
1,0.6666,7,0.3333,0.3333,7,0.3333,98.3445871376
