Noise,SigD,SigI,PSNR
1,2.2,3.2,101.66128775
1,2.2,3.2,103.113406543
1,2.2,3.2,101.330272289
1,2.2,3.2,102.709252406
5,1.8,2.8,97.9366411695
5,1.8,2.8,101.530758283
5,1.8,2.8,99.1277128991
5,1.8,2.8,99.8703199985
5,1.8,2.8,99.9926060926
5,1.8,3.0,98.0683212556
5,1.8,3.0,94.8707786329
5,1.8,3.0,97.2541374854
5,1.8,3.0,95.2073151503
5,1.8,3.0,96.8684392069
5,1.8,3.2,98.0999928182
5,1.8,3.2,97.8369982083
5,1.8,3.2,95.3384057688
5,1.8,3.2,98.4053410559
5,1.8,3.2,97.4862574898
5,2.0,2.8,91.5956551996
5,2.0,2.8,92.6903748062
5,2.0,2.8,95.8750183649
5,2.0,2.8,92.438615353
5,2.0,2.8,98.6830962813
5,2.0,3.0,97.6449224705
5,2.0,3.0,99.1539405742
5,2.0,3.0,98.3938339381
5,2.0,3.0,97.1764532044
5,2.0,3.0,97.3503582856
5,2.0,3.2,94.3011362968
5,2.0,3.2,96.2493137325
5,2.0,3.2,97.5277900511
5,2.0,3.2,92.9709486403
5,2.0,3.2,96.6827372876
5,2.2,2.8,99.1872395544
5,2.2,2.8,95.3216526368
5,2.2,2.8,96.535929305
5,2.2,2.8,96.9751580114
5,2.2,2.8,94.0925847515
5,2.2,3.0,96.0494187991
5,2.2,3.0,92.5395250191
5,2.2,3.0,94.1577336002
5,2.2,3.0,96.7194288442
5,2.2,3.0,96.1144972279
5,2.2,3.2,95.0789765121
5,2.2,3.2,95.1010576499
5,2.2,3.2,92.8926347343
5,2.2,3.2,95.506346532
5,2.2,3.2,97.6102952353
10,1.8,2.8,85.7780039622
10,1.8,2.8,85.2798301666
10,1.8,2.8,82.6374609797
10,1.8,2.8,84.6958395811
10,1.8,2.8,83.4293163769
10,1.8,3.0,83.1346681372
10,1.8,3.0,83.8224877068
10,1.8,3.0,86.2821912494
10,1.8,3.0,83.5232606096
10,1.8,3.0,83.5190831675
10,1.8,3.2,85.8492986907
10,1.8,3.2,84.5920548133
10,1.8,3.2,85.4809973369
10,1.8,3.2,86.8659303938
10,1.8,3.2,81.2914953157
10,2.0,2.8,84.5169570416
10,2.0,2.8,85.9178855761
10,2.0,2.8,83.8062252885
10,2.0,2.8,86.3647831121
10,2.0,2.8,84.4960044516
10,2.0,3.0,87.7187631337
10,2.0,3.0,86.2502375718
10,2.0,3.0,87.5982523304
10,2.0,3.0,81.0393110313
10,2.0,3.0,85.9783380545
10,2.0,3.2,83.5230294467
10,2.0,3.2,85.7178109972
10,2.0,3.2,85.3960880022
10,2.0,3.2,87.5002951464
10,2.0,3.2,87.1659643566
10,2.2,2.8,87.4910040206
10,2.2,2.8,83.4825987859
10,2.2,2.8,86.3090462917
10,2.2,2.8,84.9749037334
10,2.2,2.8,84.2258400852
10,2.2,3.0,85.987631927
10,2.2,3.0,86.2997869337
10,2.2,3.0,89.2660128451
10,2.2,3.0,90.224411854
10,2.2,3.0,86.5385390732
10,2.2,3.2,86.9270681826
10,2.2,3.2,82.3828699762
10,2.2,3.2,89.7821668304
10,2.2,3.2,91.1431628031
10,2.2,3.2,85.4387099962
20,1.8,2.8,69.4635380062
20,1.8,2.8,74.3411072674
20,1.8,2.8,68.7962457781
20,1.8,2.8,69.3381704064
20,1.8,2.8,75.4372495208
20,1.8,3.0,66.636097692
20,1.8,3.0,71.7986349215
20,1.8,3.0,68.7019989284
20,1.8,3.0,67.9984640242
20,1.8,3.0,67.31023812
20,1.8,3.2,72.0815470094
20,1.8,3.2,73.0227498571
20,1.8,3.2,69.4969756606
20,1.8,3.2,70.4871359883
20,1.8,3.2,67.7939524633
20,2.0,2.8,71.3984274841
20,2.0,2.8,71.3661852429
20,2.0,2.8,69.886549019
20,2.0,2.8,72.4634214878
20,2.0,2.8,71.9126451708
