Noise,Beta,Window,T,PSNR
30,0.75,9,0.925,50.3999567821
30,0.75,9,0.95,52.8191861269
30,0.75,9,0.95,50.6695443022
30,0.75,9,0.95,50.6932243049
30,0.75,9,0.95,50.3455426045
30,0.75,9,0.95,51.2945218549
30,0.75,9,0.975,52.1444081145
30,0.75,9,0.975,53.6001495886
30,0.75,9,0.975,50.8534388162
30,0.75,9,0.975,49.3131554766
30,0.75,9,0.975,51.5651958386
30,1.0,3,0.9,52.9808880251
30,1.0,3,0.9,52.3379841706
30,1.0,3,0.9,51.7420871284
30,1.0,3,0.9,51.7104792662
30,1.0,3,0.9,52.9753734897
30,1.0,3,0.925,51.3178864717
30,1.0,3,0.925,50.7663104045
30,1.0,3,0.925,50.9752100878
30,1.0,3,0.925,50.9056979907
30,1.0,3,0.925,50.6755327907
30,1.0,3,0.95,52.7159425593
30,1.0,3,0.95,48.984085397
30,1.0,3,0.95,50.1213197083
30,1.0,3,0.95,54.3220589681
30,1.0,3,0.95,54.1758049223
30,1.0,3,0.975,50.6829728675
30,1.0,3,0.975,53.3297808236
30,1.0,3,0.975,51.6169399454
30,1.0,3,0.975,51.110400673
30,1.0,3,0.975,49.4213495865
30,1.0,5,0.9,51.0844770906
30,1.0,5,0.9,51.7236419776
30,1.0,5,0.9,52.3982254061
30,1.0,5,0.9,51.7852837167
30,1.0,5,0.9,52.266553721
30,1.0,5,0.925,51.3305207739
30,1.0,5,0.925,50.3340053712
30,1.0,5,0.925,52.6042554988
30,1.0,5,0.925,52.2501900613
30,1.0,5,0.925,54.738634532
30,1.0,5,0.95,49.0652721011
30,1.0,5,0.95,50.7988899854
30,1.0,5,0.95,51.4303785405
30,1.0,5,0.95,49.4575413143
30,1.0,5,0.95,51.5216463602
30,1.0,5,0.975,49.9332702752
30,1.0,5,0.975,50.1437097805
30,1.0,5,0.975,52.7883525771
30,1.0,5,0.975,50.4201857999
30,1.0,5,0.975,52.7165782251
30,1.0,7,0.9,50.6690970446
30,1.0,7,0.9,51.0141925175
30,1.0,7,0.9,51.3137020879
30,1.0,7,0.9,52.0565096632
30,1.0,7,0.9,49.0740894988
30,1.0,7,0.925,50.1631569982
30,1.0,7,0.925,50.9881902825
30,1.0,7,0.925,50.9961989984
30,1.0,7,0.925,50.0353645782
30,1.0,7,0.925,52.0303421964
30,1.0,7,0.95,51.2928366059
30,1.0,7,0.95,52.6595374752
30,1.0,7,0.95,52.7669557602
30,1.0,7,0.95,51.8953665159
30,1.0,7,0.95,48.3390949802
30,1.0,7,0.975,50.6454453944
30,1.0,7,0.975,51.0556259732
30,1.0,7,0.975,52.4504768616
30,1.0,7,0.975,48.743500849
